predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
4.60618	-9.46388	0.428476	2.72574	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
4.62973	-9.31409	0.428476	2.72574	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
4.78383	-9.15296	0.771061	2.75547	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
4.82239	-9.01517	0.771061	2.75547	4.95209	-8.96272	5	-9.05	0.999884	1.99977
4.93834	-8.90847	0.974466	2.67376	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
4.99194	-8.7614	0.974466	2.67376	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
5.14274	-8.6236	1.22982	2.6494	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
5.20425	-8.49111	1.22982	2.6494	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
5.34358	-8.38787	1.43447	2.57244	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
5.42248	-8.24638	1.43447	2.57244	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
5.51751	-8.16495	1.47685	2.41463	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
5.59877	-8.03208	1.47685	2.41463	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
5.75479	-7.92406	1.67314	2.34941	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
5.84682	-7.79483	1.67314	2.34941	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
5.99206	-7.69638	1.81282	2.26862	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
6.09178	-7.57159	1.81282	2.26862	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
6.2202	-7.48939	1.88816	2.15687	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
6.32393	-7.3709	1.88816	2.15687	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
6.43841	-7.30176	1.91636	2.02735	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
6.53427	-7.20035	1.91636	2.02735	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
6.68396	-7.11912	2.05782	1.9743	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
6.79727	-7.0104	2.05782	1.9743	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
6.89012	-6.92154	2.00405	1.92212	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
7.00029	-6.81588	2.00405	1.92212	7.08741	-6.92602	7	-6.85	2.72856	1.81904
7.13085	-6.72825	2.05757	1.87475	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
7.24389	-6.62526	2.05757	1.87475	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202
7.3561	-6.53913	2.0554	1.83047	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018
7.45889	-6.44759	2.0554	1.83047	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884
